timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1494573914425,1266,27 /,200,OK,bp10 10-1,text,true,,10387,904,1,10,72,0,63
1494573916000,376,31 /layouts/system/VisitorIdentification.js,200,OK,bp10 10-1,text,true,,1528,412,1,10,376,0,167
1494573914409,2145,87 /,200,OK,bp07 7-1,text,true,,27444,468,1,10,2135,0,623
1494573914111,2145,bp07s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,27444,468,1,10,2135,300,623
1494573916687,11,32 /assets/r-B6BE34619D738D15880CCD7B0B7C93D5/uwaCss.css,200,OK,bp10 10-1,text,true,,61813,440,1,10,7,0,0
1494573917016,4,33 /assets/r-0DF3025DFD45326BBA4E75A9ECAED483/modernizrJs.js,200,OK,bp10 10-1,text,true,,6313,429,1,10,3,0,0
1494573916858,544,89 /international-students,200,OK,bp07 7-1,text,true,,33862,547,1,10,531,0,31
1494573916556,544,bp07s3,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,33862,547,1,10,531,303,31
1494573917328,238,34 /visualid/lib/font-awesome/font-awesome.4.latest.css,200,OK,bp10 10-1,text,true,,37872,452,1,10,98,0,48
1494573917874,16,36 /assets/r-772E2629E969026E53EBA20227688FD7/uwaJs.js,200,OK,bp10 10-1,text,true,,102671,423,1,10,11,0,0
1494573917718,484,90 /international-students/life-in-perth,200,OK,bp07 7-1,text,true,,24945,583,1,10,483,0,0
1494573917420,484,bp07s4,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,24945,583,1,10,483,298,0
1494573918201,8,37 /assets/dist/images/logo-full-hor-rev.png,200,OK,bp10 10-1,bin,true,,5430,438,1,10,8,0,2
1494573914385,4041,4 /,200,OK,bp02 2-1,text,true,,23100,896,1,10,84,0,68
1494573918498,44,40 /assets/dist/images/main-strokes.jpg,200,OK,bp10 10-1,bin,true,,878458,485,1,10,4,0,0
1494573914409,4345,17 /,200,OK,bp05 5-1,text,true,,23103,898,1,10,54,0,44
1494573914103,4345,bp05s1 ,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,23103,898,1,10,54,307,44
1494573914409,4359,4 /,200,OK,bp06 6-1,text,true,,23098,896,1,10,60,0,44
1494573918815,152,39 /gtm.js,200,OK,bp10 10-1,text,true,,39634,338,1,10,139,0,4
1494573918498,475,91 /international-students,200,OK,bp07 7-1,text,true,,33855,578,1,10,473,0,0
1494573918202,475,bp07s5,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,33855,578,1,10,473,296,0
1494573919267,11,42 /assets/dist/fonts/glyphicons-halflings-regular.woff,200,OK,bp10 10-1,text,true,,23804,507,1,10,7,0,0
1494573914385,5125,1 /,200,OK,bp01 1-1,text,true,,22537,448,1,10,5120,0,151
1494573919577,9,43 /assets/dist/fonts/uwa-icon-font/uwa-icon-font.woff,200,OK,bp10 10-1,text,true,,10646,506,1,10,8,0,0
1494573919273,428,92 /international-students/moving-to-perth,200,OK,bp07 7-1,text,true,,19230,585,1,10,415,0,30
1494573918973,428,bp07s6,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,19230,585,1,10,415,300,30
1494573919885,7,45 /analytics/1489393800000/2102409.js,200,OK,bp10 10-1,text,true,,21355,412,1,10,7,0,4
1494573920001,504,93 /international-students,200,OK,bp07 7-1,text,true,,33857,580,1,10,491,0,0
1494573919701,504,bp07s7,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,33857,580,1,10,491,301,0
1494573914425,6090,13 /,200,OK,bp09 9-1,text,true,,23092,896,1,10,2768,0,28
1494573914117,6090,bp09s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp09 9-1,,true,,23092,896,1,10,2768,292,28
1494573920192,366,46 /devices/uwamenu-sitemap-cache.php,200,OK,bp10 10-1,text,true,,236,391,1,10,365,0,316
1494573919072,1646,20 /Events/Open-day,200,OK,bp05 5-1,text,true,,14404,1010,1,10,463,0,3
1494573918772,1646,bp05s4,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,14404,1010,1,10,463,300,3
1494573914385,6393,41 /,200,OK,bp03 3-1,text,true,,23088,948,1,10,2841,0,68
1494573914056,6393,bp03s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp03 3-1,,true,,23088,948,1,10,2841,313,68
1494573914385,6442,17 /,200,OK,bp04 4-1,text,true,,23104,1078,1,10,2841,0,68
1494573914065,6442,bp04s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp04 4-1,,true,,23104,1078,1,10,2841,303,68
1494573914425,6439,13 /,200,OK,bp08 8-1,text,true,,23101,896,1,10,2804,0,28
1494573914113,6439,bp08s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp08 8-1,,true,,23101,896,1,10,2804,295,28
1494573920857,17,48 /assets/dist/images/indigenous-row.jpg,200,OK,bp10 10-1,bin,true,,125837,487,1,10,10,0,2
1494573921127,22,BeanShell Sampler,200,OK,bp04 4-1,text,true,,0,0,1,10,0,0,0
1494573921173,5,49 /assets/dist/images/footer-go8.png,200,OK,bp10 10-1,bin,true,,2480,483,1,10,4,0,0
1494573921079,117,46 /UWAFS/LoginRegister/LoginRegisterUser,200,OK,bp03 3-1,text,true,,2946,1561,1,10,14,0,3
1494573920805,629,94 /international-students/fees-and-scholarships,200,OK,bp07 7-1,text,true,,29473,591,1,10,629,0,0
1494573920506,629,bp07s8,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,29473,591,1,10,629,300,0
1494573921477,5,50 /assets/dist/images/footer-social-conversation.png,200,OK,bp10 10-1,bin,true,,2119,499,1,10,5,0,0
1494573921781,25,51 /assets/dist/images/svg/logo-full-hor-rev.svg,200,OK,bp10 10-1,bin,true,,8981,494,1,10,24,0,0
1494573922132,6,52 /assets/dist/images/footer-art-alt.png,200,OK,bp10 10-1,bin,true,,15066,487,1,10,6,0,0
1494573921734,490,95 /international-students,200,OK,bp07 7-1,text,true,,33853,586,1,10,476,0,34
